id	title	venue	host	city	country	date	talkType	slidesUrl	videoUrl	topic	createdAt	updatedAt
3063	Molecular Network Pharmacology: Enabling Future Drug Discovery through Translational Systems Biology	College of Medicine, the University of Arkansas for Medical Sciences, Little Rock, AR				2009-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.606+00:00	2026-03-30T12:25:47.606+00:00
3064	Building Connectivity Maps for Drug Re-purposing and Toxicogenomics Studies	Chemical Informatics Division, Eli Lilly and Company, Indianapolis, IN				2008-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.607+00:00	2026-03-30T12:25:47.607+00:00
3065	Translational Bioinformatics: Computational Tools Enabling Genome Medicine	School of Medicine, University of California, San Diego, CA				2008-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.607+00:00	2026-03-30T12:25:47.607+00:00
3066	Translational Systems Biology: Connectivity, Network Models, & Panel Biomarker Discoveries	Computational Biology and Bioinformatics Graduate Program Colloquium, Northwestern University, Evanston, IL				2008-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.607+00:00	2026-03-30T12:25:47.607+00:00
3067	Translational Bioinformatics and Systems Biology	Department of Computer Science, Virginia Tech, Falls Church, VA				2007-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.608+00:00	2026-03-30T12:25:47.608+00:00
3068	Computational Systems Biology: New Research Opportunities & Applications	Cyber Center and Department of Computer Science, Purdue University, West Lafayette, IN				2007-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.608+00:00	2026-03-30T12:25:47.608+00:00
3069	TBD: Computational Systems Biology Agenda 2.0	Integrative Biology Division, Eli Lilly & Company, Greenfield, IN				2007-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.608+00:00	2026-03-30T12:25:47.608+00:00
3070	Informatics as a Platform Supporting Translational Disease Therapeutics and Diagnostics	Asuragen, Inc., Austin, TX				2006-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.609+00:00	2026-03-30T12:25:47.609+00:00
3071	From Systems Biology to Personalized Medicine Informatics: How to Plan for Success	Division of Biomedical Informatics, Cincinnati Children's Hospital, Cincinnati, OH				2006-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.609+00:00	2026-03-30T12:25:47.609+00:00
3072	Computational Discovery from Large Biological Network Data	Prolexys Pharmaceuticals, Inc., Salt Lake City, UT				2005-01-01T00:00:00.000+00:00	Invited			Drug Discovery	2026-03-30T12:25:47.609+00:00	2026-03-30T12:25:47.609+00:00
3073	A Few Thoughts on Large Protein Interaction Networks	Center for Genomics and Bioinformatics, Indiana University, Bloomington, IN				2005-01-01T00:00:00.000+00:00	Invited			Multi-omics & Genomics	2026-03-30T12:25:47.609+00:00	2026-03-30T12:25:47.609+00:00
3074	Human Protein Interactome: Reasoning on Structures of Randomness	Bioinformatics Colloquium, Department of Statistics, Purdue University, West Lafayette, IN				2004-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.610+00:00	2026-03-30T12:25:47.610+00:00
3075	A Bioinformatics Study of the Human Protein Interactome	Joslin Diabetes Center, Harvard Medical School, Boston, MA				2004-01-01T00:00:00.000+00:00	Invited			Network & Systems Biology	2026-03-30T12:25:47.610+00:00	2026-03-30T12:25:47.610+00:00
